date_order,User_ID,product,kol,price
2024-06-19,1453912267,buter,7,35346
2024-02-01,880151033,buter,20,6980
2024-02-19,187341010,beer,38,24754
2024-06-30,1249585303,boots,10,13145
2024-03-12,769974222,bread,46,50251
2024-07-10,766102943,bread,11,7755
2024-05-28,1201103602,boots,22,33824
2024-01-12,21319943,bal,8,80547
2024-04-15,1551150178,bread,39,79865
2024-07-20,77537512,bal,3,30335
2024-01-31,346613735,beer,40,58218
2024-06-30,1045798653,buter,25,91956
2024-01-20,827760888,boots,7,69050
2024-07-17,148035775,beer,22,9591
2024-01-26,1880933772,bal,13,45341
2024-02-23,835404352,buter,45,53682
2024-01-28,980857630,bal,8,50901
2024-07-17,1573500952,boots,4,45221
2024-03-22,376611232,beer,38,3938
2024-06-16,1337175043,bal,3,61587
2024-01-11,699339321,bal,41,68707
2024-03-13,1990880699,beer,6,58986
2024-06-10,1209992577,boots,40,71574
2024-04-13,1886829181,buter,44,17820
2024-05-02,1654252981,beer,6,36535
2024-04-29,1337449568,beer,30,42221
2024-02-05,361228017,bal,45,98518
2024-03-13,1154454573,bread,20,49830
2024-05-13,1383156534,bread,50,24102
2024-02-16,378378991,bal,39,67007
2024-06-06,1830499932,bread,45,63324
2024-07-25,1613536605,buter,4,24014
2024-03-03,213242718,bread,33,8390
2024-02-10,199847901,beer,49,47446
2024-05-23,546071360,beer,9,68267
2024-01-02,728606772,bread,25,23697
2024-03-01,1349419379,bread,40,77311
2024-02-21,807801789,buter,15,51062
2024-02-21,1057502105,beer,45,17952
2024-05-04,391662139,boots,29,92064
2024-02-14,1336974426,beer,7,65771
2024-04-06,1918394810,boots,10,42410
2024-07-19,337114552,bal,43,96606
2024-01-29,1189966497,boots,8,91468
2024-03-19,1171445679,beer,50,93431
2024-05-27,1244502256,buter,22,15568
2024-01-19,1932513923,boots,26,72733
2024-05-02,204998607,bal,32,80319
2024-03-21,1203775166,boots,16,42939
2024-05-18,1651941671,buter,41,46996
2024-02-01,751257510,beer,35,46520
2024-07-25,1103610311,buter,1,12946
2024-06-06,718289134,buter,36,78267
2024-06-02,1845791333,bread,32,74067
2024-04-08,189995481,bal,41,74603
2024-05-08,735349035,buter,44,72591
2024-04-11,537340200,boots,13,53818
2024-02-01,1308763607,bread,39,71529
2024-02-27,1954028798,boots,23,41468
2024-07-13,1899715532,beer,49,46834
2024-01-03,847946569,bread,6,63495
2024-03-22,867597986,buter,42,89627
2024-06-14,1471702547,bread,36,29793
2024-06-08,780491487,bal,50,85950
2024-04-16,1823414070,buter,47,17399
2024-05-10,1039406445,bal,41,47833
2024-06-12,934673836,boots,46,90924
2024-03-24,675063735,beer,48,87527
2024-04-06,1673595146,bal,22,66553
2024-03-05,1098442909,buter,26,13881
2024-02-01,1415134136,bread,48,3341
2024-01-14,983189277,buter,3,96614
2024-06-11,1816799283,buter,34,84281
2024-03-02,1478058838,bread,34,65782
2024-02-18,1391046204,beer,9,79120
2024-01-04,1198683998,boots,38,22772
2024-03-28,1795706066,bal,25,70516
2024-07-11,1694147224,buter,14,44354
2024-03-17,1574023371,bread,22,99989
2024-05-19,1108486992,boots,15,81320
2024-02-04,1781211450,boots,32,26580
2024-01-11,1620283899,bal,6,12469
2024-01-12,171582982,boots,10,30645
2024-02-24,130664520,bal,39,51936
2024-07-01,1575536840,buter,12,85970
2024-03-09,1284443266,boots,47,49873
2024-02-09,1277991707,bread,9,80876
2024-03-26,265404185,buter,8,20505
2024-07-21,292119208,bread,38,41764
2024-04-04,1739734242,bread,5,40842
2024-02-23,1336174422,bread,10,44805
2024-06-23,88512072,buter,27,54352
2024-01-12,1828140445,bal,3,45697
2024-02-08,1510457144,buter,16,97000
2024-03-07,1584223782,buter,30,84569
2024-06-16,1149824441,boots,22,18634
2024-03-13,833392515,beer,31,52790
2024-01-23,864034942,buter,23,30649
2024-05-11,1456066071,beer,12,79493
2024-03-26,386970349,bal,43,7414
2024-06-10,397732345,buter,12,12979
2024-03-13,1796673424,beer,25,7364
2024-05-09,820733456,bread,50,55068
2024-03-08,1521407410,beer,23,20316
2024-05-02,1446926312,bal,38,60438
2024-06-26,1037500910,buter,14,46155
2024-03-08,1241922088,boots,22,47703
2024-01-05,1390092633,boots,24,76861
2024-01-22,398414968,boots,19,37705
2024-03-18,1127758860,beer,28,59944
2024-05-05,1360531142,boots,14,13046
2024-03-27,581872916,bread,14,11312
2024-05-05,944792648,buter,3,40783
2024-01-29,142634169,boots,9,82312
2024-04-19,324524101,beer,5,474
2024-03-26,1465025233,buter,9,16223
2024-04-14,1698221547,beer,8,76105
2024-06-09,966513861,bal,29,25471
2024-04-30,994436377,buter,12,34394
2024-04-17,1750344897,bal,43,51841
2024-03-23,241044430,buter,27,82801
2024-01-15,1739830521,boots,11,84550
2024-04-19,1643818731,bal,16,65522
2024-06-16,375913989,bal,49,65675
2024-01-14,1935566208,bread,17,67484
2024-05-08,1907227903,boots,25,96642
2024-07-05,1560770504,buter,36,73852
2024-02-07,37838734,bread,17,79083
2024-06-18,1400587941,beer,32,26590
2024-06-18,962734031,bal,44,49331
2024-02-15,434114032,bal,32,5477
2024-01-11,1431550125,bal,17,65449
2024-01-07,232215221,buter,5,37733
2024-01-20,1614521389,beer,41,7114
2024-01-11,1059189020,bal,22,89307
2024-07-05,1117450170,buter,22,95998
2024-06-11,1290019824,beer,17,36192
2024-05-15,1052898849,bal,18,82388
2024-02-19,1701665144,bal,26,87972
2024-05-03,1460875146,bal,11,21370
2024-06-09,595112699,beer,8,86455
2024-03-28,1251200384,beer,47,27195
2024-02-25,942890288,boots,26,64096
2024-04-20,677206197,boots,30,18313
2024-02-08,1592223880,beer,29,99314
2024-06-16,1130548456,bal,41,6225
2024-01-07,1583047248,boots,44,25135
2024-04-08,91047065,bal,39,28735
2024-01-19,853128375,bal,40,73404
2024-07-20,1883388553,beer,9,55505
2024-01-25,1564313671,bal,3,58667
2024-06-06,1367820657,beer,39,20292
2024-03-01,367341524,bal,21,53498
2024-05-16,946213023,boots,48,70665
2024-01-27,46111020,bal,12,96921
2024-04-30,103002512,buter,19,5169
2024-01-30,979849895,beer,9,79649
2024-04-07,200773234,bal,16,84337
2024-05-24,1018252035,bread,22,79632
2024-05-24,156679380,bal,48,11111
2024-02-08,1396537958,bread,13,39938
2024-03-11,1123120193,boots,1,30241
2024-04-05,1839332569,boots,34,14724
2024-02-02,502323457,beer,37,75484
2024-06-15,1890984657,beer,10,63219
2024-02-04,1404812237,buter,43,33400
2024-02-22,1534694428,buter,43,68281
2024-04-04,1419108313,beer,37,59362
2024-04-16,675861644,bread,5,66616
2024-03-24,437623920,boots,47,89347
2024-07-16,27897387,bal,33,57616
2024-03-20,623125085,bread,48,53366
2024-07-14,16934059,beer,30,31270
2024-03-29,731371031,bal,44,87574
2024-05-10,1440973437,beer,10,26332
2024-05-20,1843598652,bread,46,96083
2024-07-08,1129373058,bal,8,89692
2024-02-15,876877617,buter,35,75726
2024-05-19,1869782178,boots,28,21990
2024-03-03,1529853229,buter,23,82741
2024-05-16,1783937095,buter,15,49858
2024-07-21,681693768,buter,19,35544
2024-07-06,1845698316,buter,22,93179
2024-04-15,434222443,boots,37,96985
2024-01-27,1109102785,bread,41,96811
2024-03-16,1901488686,buter,9,39082
2024-01-15,1643663636,bal,28,20867
2024-06-25,1985459851,boots,26,68120
2024-07-11,1824366528,bread,8,64290
2024-03-10,1053496084,bal,42,70210
2024-06-01,189364432,boots,19,98463
2024-02-07,1855118017,beer,47,26931
2024-07-04,1106559867,boots,19,86717
2024-04-22,1007146104,bal,11,29374
2024-07-24,1906024446,bal,5,58724
2024-07-06,748171822,bread,24,34108
2024-01-19,1031649329,beer,39,15456
2024-05-28,714719078,buter,23,81964
2024-07-25,1625004487,boots,9,87122
2024-02-05,890911874,beer,15,44844
2024-02-01,1288407972,bal,10,31135
2024-07-01,205019358,bal,27,32727
2024-05-29,29868635,bread,38,15090
2024-02-03,383399659,bread,2,74442
2024-01-14,854263664,beer,48,14807
2024-02-15,714039189,buter,32,53561
